Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Valid Loss,Valid Accuracy,Valid Precision,Valid Recall,Valid F1
0,2.097512613237921,0.12525843656557029,0.14749809521209772,0.15693818857330127,0.15207178062202542,2.0826733959422388,0.12351145038167939,0.15944999995031964,0.15297814414539615,0.1561470407666637
1,1.8831101120047193,0.31225117471166164,0.2638431361444926,0.2322181086985384,0.24702253887199951,1.6881328010559082,0.4364885496183206,0.3553180737555738,0.2812695214407598,0.3139870940578405
2,1.513838470771451,0.47649722340879963,0.47712216887811765,0.339921418912847,0.39700218461617376,1.1680816874784583,0.6464122137404581,0.6670077709501272,0.5249858437573217,0.5875360960064958
3,1.0656860528626948,0.6970226398974797,0.6886115685417219,0.6027345648454497,0.6428175736645768,0.6510186941483441,0.8582442748091603,0.8285897716808461,0.7755855041451559,0.8012119691443409
4,0.727426146419382,0.8141734301580521,0.7908395617545254,0.7513695509523699,0.7705994751229303,0.3890451156391817,0.9385496183206106,0.9230053890680918,0.8998773535603606,0.9112946515022662
5,0.5631371388093603,0.8551815463477147,0.8344886737678038,0.7993583655103755,0.8165458409064443,0.26856387110317453,0.955916030534351,0.9435701263195966,0.9370619910595039,0.940304797628928
6,0.4672270499480055,0.8818795386586928,0.8700587767169718,0.8342743998863767,0.8517909218408165,0.20674974203109742,0.9612595419847327,0.9512139429237414,0.9464918156209072,0.948847004155446
7,0.42170568811201803,0.8911704399829133,0.8875792972167469,0.8460460122186295,0.8663151383993274,0.17685025593813727,0.9625954198473281,0.9544312972392683,0.9461902805331881,0.9502929225320986
8,0.37985442490301036,0.9005681332763776,0.898719953247217,0.857265422261311,0.8775033675801811,0.15055479232002705,0.9652671755725191,0.9556573395479444,0.9525316548021938,0.9540919371809703
9,0.35169721688019945,0.9077231952157198,0.9070365748323976,0.868896235939579,0.8875568500689077,0.13531942213282866,0.9679389312977098,0.9567668128654971,0.9538418726741096,0.9553021038824823
10,0.3261576181873933,0.918509184109355,0.9190661757760191,0.8838807336558037,0.9011301236586522,0.12136572823804968,0.9679389312977098,0.9596640365298454,0.9551485247208931,0.9574009563844202
11,0.3010768260239741,0.9256642460486971,0.9218409607264336,0.8901284421506428,0.9057071901757037,0.11089021409259123,0.9692748091603054,0.9604835858585858,0.9561445042530567,0.9583091334015268
12,0.2805776331774611,0.9327210593763349,0.9281071736920516,0.9020118143188274,0.9148734493314924,0.10665878050467548,0.9732824427480915,0.9651984621079552,0.9608776913875596,0.9630332303506967
13,0.2749493538397571,0.9354122170012815,0.9322914050549114,0.9072885129971503,0.9196200439804497,0.09914536237716674,0.9732824427480915,0.9652345199321943,0.9614317517278044,0.9633293829626167
14,0.2541516147131806,0.9407945322511746,0.9359514727642138,0.9175351870939837,0.9266518376121501,0.09185622467714197,0.9826335877862595,0.976051017245964,0.9777811004784689,0.9769152928834088
15,0.240764668174978,0.9450555318240068,0.9390189478957274,0.9240657381565962,0.9314823354260843,0.09303028064615586,0.9772900763358778,0.9702302631578947,0.9671276913875597,0.9686764929740546
16,0.22835383158088135,0.9468496369073045,0.9408192171820882,0.9293126253767883,0.9350305222631868,0.09638403247384464,0.9812977099236642,0.9773138766809653,0.9730019830850221,0.975153163366255
17,0.21694047296413382,0.949316531396839,0.9430309563800707,0.9322032971204577,0.937585867134346,0.07256453009212718,0.9893129770992366,0.9844695314708678,0.9838574893673577,0.9841634152632945
18,0.19646787649942338,0.9558201623237932,0.950137643418802,0.9414942921748466,0.9457962209530222,0.07380827875698313,0.9866412213740459,0.9813002636783124,0.9798802166400851,0.9805897260470068
19,0.19121079728058174,0.9565677061085005,0.9505045262800385,0.9409917871016784,0.9457242358917443,0.08375589419813717,0.9812977099236642,0.9746488264580369,0.9715468833067518,0.9730953828670503
20,0.18800502399535715,0.9563434429730884,0.9500824466316911,0.9409706153190331,0.9455045787965627,0.06595717142609989,0.9866412213740459,0.9811402027027027,0.979785519670388,0.9804623932529319
21,0.17164153063256585,0.9619500213583938,0.9551162628044381,0.9488296802105831,0.9519625927672805,0.07637709330109989,0.9812977099236642,0.9761057692307691,0.9714521863370547,0.9737734180433951
22,0.1765383589552531,0.9596326356258009,0.9523061641867363,0.9461591672674885,0.9492227141176468,0.0769199630793403,0.9826335877862595,0.9762947031039135,0.9733162214247739,0.974803187104464
23,0.16509114236148142,0.9623237932507476,0.9563228728053212,0.9501830144163006,0.9532430569744019,0.07422808100195491,0.9866412213740459,0.9822001250781738,0.9813353164183556,0.9817675303024997
